country,description,employees,funding_stage,hq_address,linkedin_company,name_startup,operation_area,other_office,total_raised,verts_link,website_url,year_founded
Russia,Complex technologies to make real estate sales simple,1-10,Pre-Seed,Moscow,,Sophyt,United States,,,"Operational Data & Analytics,Manage & Operate,Maintenance Services,Leasing & Asset Management,Commercial,Industrial,Residential,Artificial Intelligence,Augmented Reality,Automated Valuation,Big Data,Business Intelligence,Buy-to-Let Mortgages,Chatbot,Cloud,CRM,Data Analytics,Deep Learning,Image Processing,Interior Design,Internet of Things (IoT),Leads Generation,Location Analytics,Machine Learning,Mapping,Marketing,Mobile App,Predictive Analytics,Project management,Rental Application & Screening,SaaS,Smart City,Urban Mobility,VR/AR,Web Platform,Work Flow Management",https://sophyt.com/,2019
India,"R WorkSquare provides a fully furnished Office on lease at a reasonable cost, Ready to move & virtual Office at MP Nagar Bhopal",11-50,Established,"21, Zone-II, MP Nagar, Bhopal, Madhya Pradesh, 462011","https://www.linkedin.com/company/r-worksquare/,https://www.facebook.com/RWorkSquare/",R WorkSquare,India,,,"Virtual Tours,Commercial Search,Buy Sell & Rent,Commercial,Co-Working,Work Flow Management",https://www.rworksquare.com/,2018
Israel,Apartment Rental Matching Solution,11-50,Bootstrapped,"Mapu Street 18, Tel Aviv-Yafo, Israel",https://www.linkedin.com/company/getplace/about/,GetPlace,Israel,,,"Travel & Vacation Search,Tech-Enabled Brokerage,Home Search,Buy Sell & Rent,Agent Tools & Services,Residential,Marketplace,PropTech,real estate,rent",https://en.get-place.com/,2017
Israel,"Meet Patricia, your private virtual design assistant. Patricia will learn your style and budget in order to guide you through your journey to quickly reach a perfect home as easy as 1, 2, 3",11-50,Seed,"Halkiki Haor St 16, Beer Sheva","https://www.linkedin.com/company/patricia-ai/,https://www.facebook.com/patricia.home.design",Patricia AI,Israel,,1.3M,"Virtual Tours,Smart Home,Planning & Design Tools,Plan & Build,Residential,Artificial Intelligence,Browser-based application,Data Analytics,Interior Design,Machine Learning,Marketing,Platform,PropTech,SaaS",https://www.patricia-ai.com/,2016
Israel,Autonomous Maintenance and Monitoring Robots for Residential and Commercial Areas using Advanced Algorithms and AI.,1-10,Bootstrapped,"Omri Street 23, Tel Aviv, Israel","https://twitter.com/rootiebot,https://www.linkedin.com/company/rootiebot/",Rootie,United States,,,"Planning & Design Tools,Plan & Build,Commercial,Hospitality,Residential,Artificial Intelligence,Deep Learning,gardening,PropTech,Robotics",https://www.rootiebot.com/,2020
Israel,"iintoo is a social investment network, specializing in exit-oriented real estate investments.",11-50,B,"Rokach Boulevard 101, Tel Aviv-Yafo, Israel","https://www.linkedin.com/company/iintoo/,https://www.facebook.com/getiintooit",iintoo,United Kingdom,"211 E 43rd St, New York, NY, USA",13M,"Invest & Finance,Equity Investments and Crowdfunding,Alternative Financing,Commercial,General,Residential,Crowdfunding,FinTech,investing,Investment,Marketplace,PropTech",https://www.iintoo.com/,2015
Israel,I-Form Technologies Ltd. is engaged in the development of construction execution technologies.,1-10,NA,"26 Hill Street Even Yehuda, 4054520",https://www.facebook.com/formingthefuture/,iForm,Israel,,,"Smart Building,Planning & Design Tools,Plan & Build,Advanced Building Methods,Commercial,General,Residential,ConTech,Planning,Smart Building",https://www.iform.co.il/,2018
Israel,"Foldstruct bridges the gap between iconic design and feasible fabrication, allowing complex forms to be created using robotic fabrication",1-10,NA,Tel Aviv,https://www.linkedin.com/company/foldstruct/,Foldstruct,United States,,1.8M,"Smart Building,Planning & Design Tools,Plan & Build,Advanced Building Methods,Commercial,Residential,Artificial Intelligence,Robotics,Smart Building",https://www.foldstruct.com/,2018
Israel,"Setpoint develops indoor climate automation for multi-room buildings. The company deploys wireless climate node networks that enable users to sense, analyze, and automate the indoor climate in every room, through a Climate Intelligence Platform.",11-50,Seed,"Bar Kochva Street 23, Bnei Brak, Israel","https://www.linkedin.com/company/setpoint-ai/,https://www.facebook.com/SetpointAI/",Setpoint,Canada,"169 East Flagler Street, Miami, FL, USA",5.3M,"Smart Building,Plan & Build,Green Building,Commercial,Hospitality,Retail,Artificial Intelligence,Deep Learning,EnergyTech,Internet of Things (IoT),PropTech,SaaS,Smart Home,Smart HVAC",https://www.setpoint.ai/,2015
Israel,Neo Composite provides mass production of composite materials for traditional markets.,1-10,Bootstrapped,"Bialik St 155, Ramat Gan, Israel",https://www.linkedin.com/company/neo-composite-ltd/about/?viewAsMember=true,Neo Composite,Global,USA & NL,,"Planning & Design Tools,Plan & Build,Construction Marketplaces,Advanced Building Methods,Industrial,Cargo,composite-materials,construction materials,containers,ConTech,packaging,sustainability,transportation",https://www.neocomposite.com/,2012
Sweden,Comparison tool for serviced offices in Stockholm,11-50,Revenue Financed,Regeringsgatan 29 Sweden,,yta.se,Europe,,"800,000","Tech-Enabled Brokerage,Commercial Search,Buy Sell & Rent,Commercial",https://yta.se,2014
United States,Bdtask is the most creative software company,51-100,Established,"B-25, Mannan Plaza, 4th Floor Khilkhet, Dhaka-1229, Bangladesh",,Bdtask Limited,United States,,,"Planning & Design Tools,Plan & Build,Commercial",https://www.bdtask.com/,2013
Germany,Redefining professional real estate transactions,1-10,Pre-Seed,"Schillerstrasse 20, 60313 Frankfurt on the Main",https://www.linkedin.com/company/deutsche-assets,Deutsche Assets,Europe,,,"Transaction Management,Tech-Enabled Brokerage,Buy Sell & Rent,Commercial,Hospitality,Industrial,Residential,Retail",https://www.deutsche-assets.com,2019
Israel,DDQIR specializes in providing novel data-intelligence and analytics solutions,1-10,NA,"Frishman Street 75, Tel Aviv, Tel Aviv District 6416502, IL",https://www.linkedin.com/company/ddqi-research/,DDQIR,Europe,,,"Data & Valuation,Commercial,General,Hospitality,Industrial,Residential,Retail",https://www.ddqi-research.net/,2018
Israel,A smart sales automation platform for Real-Estate companies that uses AI to reduce your costs and skyrocket your conversion rates.,1-10,Bootstrapped,,https://www.linkedin.com/company/platera-redc/,Platera.ai,Europe,,,"Tech-Enabled Brokerage,Data & Valuation,Buy Sell & Rent,Agent Tools & Services,Commercial,General,Hospitality,Industrial,Residential,Retail",https://www.platera.ai/,2020
Israel,"Parsempo makes it easy for Digital Signage and DOOH display owners to manage their screens, create engaging experiences, measure performance and generate passive revenue anywhere in the world.",11-50,Pre-Seed,,https://www.linkedin.com/company/parsempo/,Parsempo,Europe,,,"Smart Building,Data & Valuation,Commercial,General,Hospitality,Industrial,Residential,Retail",https://parsempo.com/,2018
Israel,As the architecture and design world is moving forward to an automated and more digital ecosystem and the traditional labor extensive and repetitive design process based on experience become non-economical and less innovative AIA believes the design process from initial concept to construction documents can be fully automated.,1-10,Bootstrapped,,https://www.linkedin.com/in/aia-architecture-443ab8204/,AIA Architecture,Israel,,,"Plan & Build,Commercial,General,Industrial,Residential",Not available right now,2020
United States,Ghost kitchens and technology for restaurants to thrive in the new food economy,1-10,Seed,Los Angeles,,KEAZE,United States,,"600,000","NextGen Hospitality,Manage & Operate,Commercial,Hospitality",https://www.keaze.co,2019
Israel,"IN ProP is a software-based, smart and protected system that is simply linked to all the systems and means installed in the building and enables AI constitution-based monitoring, control and operation that operate over the big data database infrastructure of the relevant information for the building.",1-10,Bootstrapped,,,INPROP,Israel,,,"Invest & Finance,Commercial,General,Industrial",Not available right now,1899
Israel,AI-based Safety Solution for the Construction Industry,1-10,Pre-Seed,"24, Gibor Israel , Netanaya, Israel IL",https://www.linkedin.com/company/safetybimbtp/,SafetyBIM,Europe,"149 Avenue du Maine, Paris, France",,"Safety & Training,Plan & Build,Management & Collaboration Tools,Artificial Intelligence,Internet of Things (IoT)",https://safetybim.com/platform/,2020
Israel,Automated industrial drones,251-500,C+,"Modi'​in Street 8, Petah Tikva, Israel 4969107, IL",https://www.linkedin.com/company/airobotics/,AIRobotics,Global,"3302 Canal St, Suite 47, Houston, Texas 77003, US",$123 M,"Operational Data & Analytics,Manage & Operate,Drones",https://www.airoboticsdrones.com/,2014
Israel,RealtyBundles is a crowdfunding platform for investments in real estate portfolios around the globe,1-10,NA,"27 OLD GLOUCESTER STREET, London, London WC1N 3AX, GB",https://www.linkedin.com/company/realtybundles/,RealtyBundles,Europe,,,"Invest & Finance,Equity Investments and Crowdfunding",https://il.realtybundles.com/,2016
Israel,Reinventing the way homes are built and experienced while working together to solve housing shortages around the world.,251-500,B,"777 Mariners Island Blvd, San Mateo, California 94404, US",https://www.linkedin.com/company/veevgroup/,Veev,United States,"Kaufmann St. 2, Floor 18, Textile Center, Tel Aviv-Yafo, 6801294, IL",$97 M,"Smart Home,Plan & Build,Manage & Operate,Advanced Building Methods,Residential",https://www.veev.com/,2008
Israel,Impacting the well-being and safety of urban communities by purifying air,11-50,Grant,,https://www.linkedin.com/company/salamandra-zone/,Salamandra Zone,"Tel Aviv, IL",,$1.5 M,"Manage & Operate,Energy Management,Commercial,Residential,EnergyTech,Safety",https://www.salamandra-zone.com/,2013
Israel,Digital Inspection-Elevated! Using Autonomous Drone Hive Software,11-50,A,"11 Hamenofim St., Herzliya, IL 4672211, IL",https://www.linkedin.com/company/vhive/,vHive,Israel,,$11.5 M,"Operational Data & Analytics,Manage & Operate,Industrial,Artificial Intelligence,ConTech,Data Analytics",http://www.vhive.ai/,2016
Israel,Rent a beautifully furnished home in seconds.,11-50,NA,,https://www.linkedin.com/company/homesliving/,Homes Living,Israel,,,"Home Search,Buy Sell & Rent,Residential",https://www.homesliving.com/,2019
Israel,A green building product selection platform for the construction industry.,1-10,Bootstrapped,,"https://twitter.com/EffectiveBldg,https://www.linkedin.com/company/effectivebuilding/",Effective Building,United States,,,"Plan & Build,Green Building,Construction Marketplaces,ConTech",https://www.effectivebuilding.co/,2019
Israel,A software company that specializes in giving solutions and services to various aspects of civil engineering.,1-10,NA,"15 Hatarshish Street , Caesarea Industrial Park, 3079560",https://www.linkedin.com/company/manamapps/about/,Manam Applications Ltd,United States,,$155 K,"Operational Data & Analytics,Manage & Operate,Industrial,3D Modeling,Drones",manamapps.com/en/home,2014
Israel,An autonomous crane technology company.,1-10,Seed,,https://www.linkedin.com/company/syracuse-crane-technologies/,Syracuse,"Nir Am, Israel 7917500, IL",,$1.5 M,"Safety & Training,Plan & Build,Operational Data & Analytics,Manage & Operate,Advanced Building Methods",https://www.syracuse-tech.com/,2018
Israel,Effective one stop shop for real estate developers.,11-50,Seed,"Ahad Ha'Am Street 9, Tel Aviv-Yafo, Israel",https://www.linkedin.com/company/stoa-usa/about/,Stoa Fund,United States,"6991 E Camelback Rd, Scottsdale, AZ 85251, USA",$64 M,"Loan Management,Invest & Finance,Buy Sell & Rent,Residential,Flipping,Mobile App",https://www.stoa.fund/,2017
Israel,Camera-based measurement technology,1-10,Seed,,https://www.facebook.com/iMeasure-1889113318032870/,iMeasure,"Sderot Shai Agnon 18, Jerusalem, Israel",,$720K,"Plan & Build,On-Site Execution,Industrial,3D Modeling,ConTech",https://www.imeasure.pro/,2016
Israel,Climate comfort and energy consumption in commercial buildings. ,11-50,Seed,"Bar Kochva 23, Bnei Brak, Israel",https://www.linkedin.com/company/zes--zero-energy-solutions/about/,Zero Energy Solutions,Europe,,$5.3M,"Manage & Operate,Energy Management,Commercial",https://www.zero.energy/,2015
Israel,Matter is aimed at increasing the sale of real-estate properties by providing innovative visualization tools.,11-50,Bootstrapped,,"https://www.linkedin.com/company/matter-software/,https://www.facebook.com/Matterportisrael/",Matter Software,"2301, Tel Aviv, israel 6291921, IL",,,"Virtual Tours,Buy Sell & Rent,Commercial,Hospitality,Residential,3D Modeling",https://matter.co.il/he/,2017
Israel,Advanced Real Estate AI Analysation.,1-10,Bootstrapped,,https://www.linkedin.com/company/realintegral/,RealIntegral,"Yigal Alon St 114, Tel Aviv-Yafo, 6744320, IL",,,"Invest & Finance,Data & Valuation,Commercial,Residential,Artificial Intelligence,Big Data",https://realintegralil.wixsite.com/home,2020
Israel,"We are an in-building smart platform that provides tenants with on-demand access to appliances, grocery staples, micro-mobility devices, and much more.",11-50,Pre-Seed,"325 W 38th Street New York ,NY 10001","https://www.linkedin.com/company/tulou/,https://www.facebook.com/TULU.city",Tulu,United States,,$1.8 M,"Tenant Experience,Property Management,NextGen Rentals & Coliving,Manage & Operate,Residential,Data Analytics,Internet of Things (IoT)",https://www.tulu.io/,2019
Israel,An intuitive graphical platform for smarter space management,11-50,NA,,"https://www.linkedin.com/company/poc-system/about/,https://www.facebook.com/POCSystem/",POC Systems,"Shacham 32, Petah Tikva, IL",,,"Property Management,Manage & Operate,Commercial,Space Management,Web Platform",https://poc-system.com/why-poc-system/,2011
Israel,"A data-driven real estate platform, providing a three segment solution for your next real estate transaction.",11-50,Seed,"Warsaw, Masovia 00-038, PL","https://www.linkedin.com/company/propdo/,https://www.facebook.com/PropdoIL/",Propdo,"6 Hachilazon St, Ramat Gan, Israel 52522, IL",,$2M,"Invest & Finance,Data & Valuation,Commercial,Artificial Intelligence,Big Data,Data Analytics",https://ai.propdo.com/,2020
Greece,"We change the way you buy, sell and rent properties through tech and data-enabled innovation and services.",11-50,Seed,"94 Ag. Paraskevis str., Halandri 1523, Athens, Greece","https://www.linkedin.com/company/prosperty/,https://www.facebook.com/theprosperty/",Prosperty,Europe,,$1.3 M,"Transaction Management,Tech-Enabled Brokerage,Home Search,Commercial Search,Buy Sell & Rent,Commercial,Hospitality,Industrial,Residential,Retail,3D Modeling,Artificial Intelligence,Automated Valuation,Big Data,Chatbot,CRM,Image Processing,Location Analytics,Web Platform",https://theprosperty.com/,2019
Uganda,REAL ESTATE DATA ANALYTICS HUB – Value and Risk Monitoring of the real estate market based on one’s property portfolio,1-10,Pre-Seed,"North Wing, 6th Floor Rumee Towers, Plot 19 Lumumba Avenue, Nakasero, Kampala Uganda",,REDAH Informatics Limited,Africa,,$200 K,"Operational Data & Analytics,Manage & Operate,Commercial,Industrial,Residential,Artificial Intelligence,Automated Valuation,Big Data,Data Analytics,Geospatial,Location Analytics,Machine Learning,SaaS",https://redahug.com/,2017
United Kingdom,The efficiency engine driving productivity in the built environment.,11-50,A,"10 Arthur St, Candlewick, London EC4R 9AY",https://www.linkedin.com/company/metrikus-ltd/,Metrikus,Asia,,$5 M,"Manage & Operate,Maintenance Services,Leasing & Asset Management,Flexible Workplace & Coworking,Commercial,Big Data,Data Analytics,Internet of Things (IoT),Mapping,Sensors,Smart Building",https://www.metrikus.io/,2019
Israel,Payment Collection Platform for Property Managers,1-10,Seed,,"https://www.linkedin.com/company/bllink/,https://www.facebook.com/Bllink.co",Bllink,"Tel Aviv, Israel",,,"Manage & Operate,Payment Operation",https://www.bllink.co/platform/,2017
Israel,Extended-reality Virtual Tour Platform,1-10,Bootstrapped,,https://www.linkedin.com/company/interixr/,InteriXR,,,,"Virtual Tours,Buy Sell & Rent,Residential,Virtual Reality",https://interixr.com/,2019
Israel,Air Quality Optimization Solution,1-10,A,,https://www.linkedin.com/company/urecsys/,Urecsys,"High-Tech Village 4.4, Giva't Ram Campus, The Hebrew University, Jerusalem",,$7.5 M,"Manage & Operate,Energy Management,General,SaaS",https://www.urecsys.com/,2012
Israel,Digital Asset-backed Global Trading Platform,11-50,Bootstrapped,"94 Yigal Alon st., Tel aviv, Israel 6789155, IL","https://www.linkedin.com/company/banx-one/,https://www.facebook.com/Banxone-177791052940920",Banx.one,Global,"12 Vestry St, New York, 10013, US",,"Invest & Finance,Investment,Investment Management",https://www.banx.one/,2017
Israel,Environmental awareness and control solution for commercial buildings,1-10,Bootstrapped,"121 Dvora Hanevia, Atidim Park, Tel Aviv Israel","https://www.linkedin.com/company/radgreen/,https://www.facebook.com/RadgreenPage/",RadGreen,Europe,,,"Operational Data & Analytics,Manage & Operate,Energy Management,General",http://radgreen.com/#4:title-page,2016
Israel,"SeeCares is empowering CRE Lenders and Borrowers to transact faster, cheaper, and more efficiently.",1-10,Pre-Seed,,https://www.linkedin.com/company/seecares/,SeeCares,Europe,,,"Invest & Finance,Digital Lenders & Brokers,SaaS",https://seecares.com/,2019
Israel,AI Technology for Architectural Services,1-10,Seed,,https://www.linkedin.com/company/qbiq-ai/,qbiq,"Derech Menachem Begin 144, Tel Aviv-Yafo, Israel",,,"Planning & Design Tools,Plan & Build",https://www.qbiq.ai/home,2018
Israel,AI-Driven Property Analytics.,1-10,A,"15 N Main St, West Hartford CT, 06107",https://www.linkedin.com/company/solview/,SolView,United States,,$5.17 M,"Operational Data & Analytics,Manage & Operate,Artificial Intelligence,Big Data,Data Analytics,EnergyTech",https://www.solview.com/,2013
Israel,Real Estate Investment Platform,1-10,Bootstrapped,,https://www.linkedin.com/company/simp-homes/,SIMP Investments,United States,,,"Invest & Finance,Residential,Artificial Intelligence,Big Data,Machine Learning",https://www.simphomes.com/,2019
Israel,An innovative approach for the real estate market using more effective and efficient ways for decision-making. ,1-10,NA,,https://www.linkedin.com/company/appmonimmo/,Monimmo,"Yehoda, modiin, israel 7173276, IL",,,"Invest & Finance,Data & Valuation,Data Analytics",http://monimmo.be/index,2018
Australia,OpenLot.com.au is your one-stop-shop for the house & land search.,1-10,Pre-Seed,"Melbourne, Victoria",https://www.linkedin.com/company/openlot-com-au,OpenLot.com.au,Australia,,,"Home Search,Buy Sell & Rent,Residential,CRM,Lead Management,Marketing,Marketplace",https://www.openlot.com.au/,2019
Austria,The first AI based profile of real estate buyers or tenants helps real estate agents to pre-qualify potential clients in order to sell properties faster and save valuable time.,1-10,Pre-Seed,"5301 Eugendorf, Radauerweg 18a, Austria",,Spectimmo,Europe,,"100,000","Tech-Enabled Brokerage,Buy Sell & Rent,Agent Tools & Services,Commercial,Residential,Retail,Artificial Intelligence,Data Analytics,Machine Learning,Mobile App,Predictive Analytics",https://spect.immo/,2018
Israel,The Future of Construction Intelligence.,1-10,Seed,"Arlozorov 111, Tel Aviv - Jaffa, Israel, 6209831",https://www.linkedin.com/company/trusstor,Trusstor,Asia,,,"Safety & Training,Plan & Build,On-Site Execution,Management & Collaboration Tools,Commercial,Hospitality,Industrial,Residential,Retail,Artificial Intelligence,Cloud,ConTech,Data Analytics,Deep Learning,Internet of Things (IoT),Location Analytics,SaaS,Sensors,Work Flow Management",https://trusstor.com/,2019
United Kingdom,"The data-driven occupier marketplace, designed for commercial agents.",1-10,Bootstrapped,"69 Baizdon Road, London SE3 0UN","https://twitter.com/wbtc_uk,https://www.facebook.com/Webuiltthiscityuk",We Built This City,Europe,,18000,"Buy Sell & Rent,Agent Tools & Services,Commercial,Hospitality,Industrial,Retail,Big Data,Browser-based application,Chatbot,CRM,Crowdfunding,Leads Generation,Location Analytics,Predictive Analytics,Rental Application & Screening,SaaS,Tenant Management,Web Platform",https://www.wbtc.co/,2019
Israel,Integration data platform to streamline the construction process and achieve autonomous construction.,1-10,Pre-Seed,"Menachem Begin 144, Tel Aviv, Israel",,InnoGration,Europe,,150000,"Operational Data & Analytics,Manage & Operate,Commercial,Residential,Artificial Intelligence,Big Data,Business Intelligence,Data Analytics,Machine Learning,Predictive Analytics,SaaS",Not available right now,2018
Sweden,Reducing costs through smart maintenance planning,1-10,Established,"Östra Hamngatan 52, Gothenburg","https://www.linkedin.com/company/planima/,https://www.facebook.com/planima",Planima,Europe,,,"Operational Data & Analytics,Manage & Operate,Leasing & Asset Management,Commercial,Hospitality,Industrial,Residential,Retail,Big Data,Cloud,Data Analytics,Investment Management,Property Management,SaaS,Web Platform,Work Flow Management",https://planima.se/,2015
Israel,we are SCAN TO BIM & SaaS solution for AEC & Construction industry,1-10,Seed,,"https://www.linkedin.com/company/metabim/?viewAsMember=true,https://www.facebook.com/METABIMZONE",MetaBIM,Israel,,,"Manage & Operate,Indoor Navigation,Industrial,3D Modeling,Big Data,BIM,CAD,Cloud,Digital Twin,Mapping,Smart Building",https://www.meta-bim.com/,2019
United States,Realquantum helps commercial real estate valuation professionals eliminate tedious manual work and boost profits 50%.,11-50,Seed,"6701 W 64th St Suite 310, Overland Park, KS 66202, USA",https://www.linkedin.com/company/realquantum,Realquantum,Europe,,$1.8M,"Buy Sell & Rent,Commercial,Appraisal,Artificial Intelligence,Big Data,Business Intelligence,Data Analytics,Investment,Investment Management,Machine Learning,Predictive Analytics,Property Management,SaaS,Valuation",https://www.realquantum.com/,2015
